scheme_code,scheme_name,4_month_rolling_return,monthly_return,variance_of_monthly_returns,max_drawdown,drawdown_duration,excess_return,sharpe_ratio,downside_return,annualized_return,volatility,downside_deviation,max_gain,beta,alpha,treynor_ratio,information_ratio,CAGR,up_capture_ratio,down_capture_ratio,recovery_time,nav,diversification_score,Score
100876,HDFC Liquid Fund - IDCW Monthly,-0.001002375142498,-0.0006343575280307,827.6528650799627,-0.7291637852876607,9,-0.0031343575280307,0.9996159137335876,-0.0006343575280307,-0.0075857873907763,99.65858909777695,0.0030245263769241,99.65789832356548,-30.67852111382256,1.132882316619964,0.0009985604395457,0.0920645781819329,0.6170206313506759,4.550895616445138e-05,-72.48102491342766,108,1026.5294,0.4633790691783209,228.9359725757739
120785,UTI - Overnight Fund - Direct Plan - Growth Option,101.11699399434906,0.0054007790991752,825.8553164243317,-0.158456528931378,0,0.0029007790991752,1.000168769515649,0.0,0.0667695464549305,99.5503078704028,0.0014068504443458,99.55420782895514,-2.487807386988343,0.0676581983664132,0.009887912154889,0.0926403768853699,0.7105674806562878,38.847601318464974,-0.1681829244513846,1,2504.6133,-230.50638577108035,228.72169780557027
100814,UTI - Overnight  Fund - Regular Plan - Growth Option,101.09944962261596,0.0053582176465944,825.7807359132701,-0.1748656812985488,0,0.0028582176465944,1.0001563863092129,0.0,0.0662277602223815,99.54581272438956,0.0015611515654678,99.54960989283852,-2.487683466226598,0.067612411266716,0.0099055135783745,0.0926324521609807,0.709075958361417,38.843884176758486,-0.1657286636034249,1,2487.6633,-233.90456150638985,228.6932332142732
124265,UTI Overnight Fund - Regular Plan - Daily IDCW,0.0,0.0,825.8182206635632,-0.1746258302700757,0,-0.0025,0.9999228714751276,0.0,0.0,99.5480720454332,0.0015599502895767,99.54993187704927,-2.4895744551405583,0.0081304513173068,0.0120502521778591,0.0923603706125442,0.6586053605930124,38.77671269708044,-0.0827438727576194,1,1370.8617,-468.1327371244318,228.69002655254573
140180,Edelweiss Liquid Fund - Retail Plan Monthly - IDCW Option,0.0212842646308433,0.0051411485896462,825.925299059195,-0.5288275506255655,0,0.0026411485896462,0.9998760091560682,0.0,0.0634685000523265,99.55452570682228,0.00096781770262,99.55599649024848,21.445168741170384,0.2819042348959094,-0.0011591818982813,0.1026707469588922,0.8615353830485002,44.09080833981814,-0.0943864707266602,11,1029.9613,-466.6180923952762,228.61464076140527
120786,UTI Overnight Fund - Direct Plan - Periodic IDCW,101.11725351610929,0.0054009056949801,825.9017356337379,-4.493604045292732,0,0.0029009056949801,0.9998625457124988,0.0,0.0667711583332471,99.5531055648434,0.023959129457294,99.5544622882141,-2.481496457462065,0.0674940519917959,0.0099130080283001,0.0924163281676089,0.6682790508129839,38.79357977857861,-0.097447495375463,12,1433.2565,-397.6195596175178,226.76389923830848
100813,UTI Overnight Fund - Regular Plan - Periodic IDCW,101.09914053900378,0.0053581120323118,825.8187905145387,-4.619146751839388,0,0.0028581120323118,0.9998434001030684,0.0,0.0662264161186025,99.54810639170624,0.0246091265838504,99.5493041937906,-2.4811166469159907,0.0674413718922181,0.0099317732595594,0.0924036329107206,0.665919688358743,38.788492075803525,-0.0934994062366029,15,1400.5858,-414.375111390628,226.683563319008
147607,PGIM India Overnight Fund - Regular Plan - Weekly Dividend Option,-0.0003152256801988,-0.000345098841885,817.1916264041988,-0.1249348585784894,7,-0.002845098841885,0.9996951909590864,-0.000345098841885,-0.0041333349854639,99.0267616195258,0.0005467172512578,99.02674625552424,15.461852764801009,-0.402698046342499,-0.001962578437622,0.127943752120671,1.515101299526687,61.71227304817683,-0.0051042233904506,31,1000.2376,-12089.960595397752,226.5569413918899
147608,PGIM India Overnight Fund - Direct Plan - Weekly Dividend Option,-0.000345202820149,-0.0002926482326265,817.1029263390081,-0.2116525559977544,7,-0.0027926482326265,0.999695857284495,-0.0002926482326265,-0.0035061318645966,99.02138716493572,0.0006662455827738,99.02137743470784,15.46001054174236,-0.4025979547207979,-0.0019594196362826,0.1279337081056264,1.5112990167374694,61.70505539436218,-0.0031886898937634,31,1000.2258,-19350.75211184972,226.49216718352008
120785,UTI - Overnight Fund - Direct Plan - Growth Option,100.78339874621864,99.55420782895514,825.8497040210112,-0.158456528931378,0,99.55170782895514,1.0002095538899398,0.0,1.0685700253530298e+24,99.5499696044762,0.0014068504443458,99.55420782895514,-2.487807386988343,99.55569114931671,-40.00478829248749,0.0926403768853699,0.7105674806562878,38.847601318464974,-0.1681829244513846,1,2466.283,-290.50395090603104,33.0544751711603
